review,total_word_count,count_good,count_average,count_medium,count_worst,vader_score,sentiments
"Jacob, Roman and the entire staff were remarkable!",10,0,0,0,0,0.5983,Good
"Service fantastic, food phenomenal, beds comfortable with a great view and exceptionally clean",15,4,0,0,0,0.9324,Good
Had a car issue leaving and Jacob and Roman went out of their way to help us! By far the best stay my wife and I have had somewhere,30,1,0,0,1,0.8016,Good
Very excellent hotel service beyond measure from your wonderful front desk staff Pratik,13,2,0,0,0,0.8268,Good
He Welcomed me and my family politely and courteously,9,0,0,0,0,0.34,Good
Answered our questions and took care of our needs,9,0,0,0,0,0.4939,Good
Secured accommodation for us within a short period of time,10,0,0,0,0,0.4019,Good
I highly recommend him for an award and promotion from whoever is the boss and in a position to recognize him for outstanding service and stewardship,26,3,0,0,0,0.8832,Good
I will recommend anyone looking for the best hotel in town to this hotel just because of Pratik,18,2,0,0,0,0.7717,Good
"Pratik is very kind, caring and attentive",8,2,0,0,0,0.8004,Good
He made our stay memorable,5,0,0,0,0,0,Average
Thanks for making our stay fun!,7,0,0,0,0,0.7574,Good
I am so impressed and overwhelmingly satisfied and proud of Pratik,11,1,0,0,0,0.8453,Good
His politeness and courtesy is beyond comprehension,7,0,0,0,0,0.3612,Good
I recommend him for a good promotion,7,1,0,0,0,0.6597,Good
I will recommend friends to use this hotel going forward,10,1,0,0,0,0.6808,Good
The front office director please consider this,7,0,0,0,0,0.3182,Good
"Positive: Location Negative: """"",7,0,0,0,0,-0.0258,Average
Some of the friendliest most accommodating staff at both the AC and the adjoining Otis hotel,16,1,0,0,0,0.5574,Good
"Any issue was taken care of, any reasonable request was granted",12,0,1,0,1,0.6369,Average
Prete was super friendly and helpful as were all the desk folks,12,1,0,0,0,0.872,Good
Rooms were clean,3,1,0,0,0,0.4019,Good
View was terrible - back of a building and dumpsters,10,0,0,0,1,-0.6249,Worst
Gym was meh,3,0,0,0,0,-0.0772,Worst
Acre 41 restaurant and bar was good,7,0,0,0,0,0.4404,Good
Bartenders made high level drinks,5,0,0,0,0,0,Average
Great bourbon selection,3,1,0,0,0,0.6249,Good
Staff including the valets were always offering cold water,9,0,0,0,0,0,Average
We stayed for college move in and the staff made a high stress situation so much better,17,0,0,0,0,0.0972,Good
Good location - near UT campus too,7,0,0,0,0,0.4404,Good
Five stars for the consistent effort,6,0,0,0,0,0,Average
"Great location for West University, large underground parking (valet/standard), and walking distance to business campus surrounded by students residential and dinners, in a safe neighbourhood",30,2,0,0,0,0.7906,Good
Outstanding experience overall,3,1,0,0,0,0.6124,Good
I want to recognize Jacob who provided personal care and great energy with each interaction!!,17,1,0,0,0,0.8829,Good
AC is great! Summer is awesome at the AC bat,11,2,0,0,0,0.8588,Good
"Positive: The location and the property amenities, restaurants, and room service Negative: The only thing that could have made it better was a rug",28,0,0,0,0,0.4215,Good
But I felt it was clean and had what I needed for my stay,14,1,0,0,0,0.5499,Good
Good value!,3,1,0,0,0,0.68,Good
Andrew and Jacob were amazing during my stay!!,10,1,0,0,0,0.658,Good
AJ was very polite and welcoming,6,2,0,0,0,0.4877,Good
He made our stay even better,6,0,0,0,0,0.4404,Good
We’ll definitely come back,6,0,0,0,0,0.4019,Good
"My only complaint is they sell day passes to the pool to the public, and it was a different kind of crowd at the pool",26,1,0,0,0,-0.296,Good
This is a great place for friends and family,9,1,0,0,0,0.802,Good
This is our go-to place for our trips to Austin,10,0,0,0,0,0,Average
"Our daughter lives there with grand son, and they enjoy visiting us when we stay at the AC",19,0,0,0,0,0.7351,Good
It's a classy place for everyone,7,0,0,0,0,0.4404,Good
Andrew & Jacob at valet were awesome!,8,1,0,0,0,0.6588,Good
We had a wonderful experience at the Otis,8,1,0,0,0,0.5719,Good
"The restaurant was fabulous and the roof top bar was to die for! Our valet, Jacob went above and beyond to make our experience top notch",28,0,0,0,0,0.3382,Good
I’ve stayed here multiple times for work,9,0,0,0,0,0,Average
"Service was and is always top notch!! Always welcomed with top notch concierge service, especially when greeted by Key & Trent!!",26,0,0,0,0,0.8199,Good
Key was fabulous!! Amazing customer service,8,1,0,0,0,0.8309,Good
Check in was pleasant and Pratik was so helpful!,10,2,0,0,0,0.8024,Good
Restful stay,2,0,0,0,0,0.3612,Good
Very clean,2,1,0,0,0,0.4576,Good
Comfortable beds,2,1,0,0,0,0.5106,Good
Jacob at valet was great! Very attentive,8,2,0,0,0,0.6588,Good
Great staff,2,2,0,0,0,0.6249,Good
Buena ubicación,2,0,0,0,0,0,Average
Buen servicio,2,0,0,0,0,0,Average
"Charity five stars because im a bonvoy guy and this was a ""boys trip"" with my dad and brother",21,0,0,0,0,0.4215,Good
The last ac I stayed at was the outpost in the gaslamp district in San diego,16,0,0,0,0,0,Average
"Ive said it before and I'll say it again, there's nothing wrong with a minimalist corporate chain hotel, anyone who has traveled in small town uk/eu will tell you that even lower level American chain hotels beat most of what's on offer in other parts of the world",53,0,0,0,0,0.091,Good
This spot shares a building with the Otis,8,0,0,0,0,0.296,Good
"The entry is lame, you have to go up one elevator and then a second elevator after the lobby",20,0,0,0,0,-0.4019,Worst
Lame,1,0,0,0,0,-0.4215,Worst
Unless im in New York or London there should be no reason for that,14,0,0,0,0,-0.296,Worst
"Front of house ssrvice was very good, well mannered indian dudes, who im seeing on offer these days all over the country (portland, boston, san francisco in past year(not a problem or a complaint)",42,0,0,0,1,0.1708,Worst
Room was what you'd expect at an ac,9,0,0,0,0,0,Average
"Housekeeping was well meaning but not particularly effective,  they missed their cleaning window (8 am to 4pm) 2 of 3 days and showed up knocking at 5 pm when I was in the shower getting ready for dinner and I actually had to explain to them in Spanish that they had to come back when we were at dinner",62,0,0,0,0,0.4307,Good
I think they are probably just understaffed,7,0,0,0,0,0,Average
"Didn't try the bar or feeding area, both of which looked sad and uninspired",16,0,0,0,0,-0.4767,Worst
Pro tip is park in the neighborhood and save the 50 dollar a day(!) Parking fee,19,0,0,0,0,0.5411,Good
50 dollars for parking in Austin?  Get out of here,11,0,0,0,0,0,Average
"Its the university area but austin is small enough that it doesnt matter where you stay, imo",18,0,0,0,0,-0.0286,Average
Jacob at valet was great,5,1,0,0,0,0.6249,Good
"The hotel is good, it's near campus",9,0,0,0,0,0.4404,Good
The receptionist Pratik is friendly!!,7,0,0,0,0,0.5837,Good
"I attended a work conference this week and I stayed at the AC Hotel, Austin, TX from Monday through Thursday",22,0,0,0,0,0.4995,Good
"The staff went above and beyond—everyone was respectful, polite, and incredibly attentive",16,2,0,0,0,0.4588,Good
They did an outstanding job accommodating our large group with warmth and efficiency,13,2,0,0,0,0.8591,Good
"The rooms were spotless and very comfortable, and the hotel itself is absolutely beautiful",15,3,0,0,0,0.831,Good
I had a fantastic experience and truly appreciated the level of service throughout my stay,15,1,0,0,0,0.8689,Good
Loved the experience with Jacob at the valet!,9,1,0,0,0,0.636,Good
"Have had a great stay at Otis AC! Thanks to Jacob, Shania, K",16,1,0,0,0,0.807,Good
"D, and Makayla for making it extra special",9,0,0,0,0,0.4019,Good
They really made us feel special and welcomed in Austin,10,0,0,0,0,0.6249,Good
They had great recommendations around the area and were very accommodating with our needs,14,2,0,0,0,0.6249,Good
Jacob was really quick with our car pick up as well!,12,1,0,0,0,0.3382,Good
My stay at the AC was quite good overall,9,0,0,0,0,0.4927,Good
"I did have an issue with a canceled flight that caused me to miss my first night, and since I virtually checked-in I was out the cost of that night; over 10+ years with Marriott and this is the first time I had learned virtual check-in is not a good idea",53,0,0,0,1,-0.4599,Worst
"However, I arrived the next morning and my check-in with Key was fantastic",14,1,0,0,0,0.5574,Good
"She did everything she could within her abilities to help elevate my stay, especially since I was out a night of stay",23,0,0,0,0,0.5719,Good
Her friendly and bubbly personality was very welcoming and great in the mornings and afternoons while there,17,2,0,0,0,0.8947,Good
Also a delight in the mornings was breakfast with Brme (apologies if I misspelled his name),18,0,0,0,0,0.5994,Good
His prompt service and personal attention was fantastic,8,1,0,0,0,0.5574,Good
I also thoroughly enjoyed my conversations with him,8,1,0,0,0,0.5563,Good
He has a great future in sales and hospitality,9,1,0,0,0,0.6249,Good
I stay on avaerage at least 5 days a month in various Marriotts and these two were standouts! Hopefully the Marriott group also notices this and not just the franchisee,31,0,0,0,0,0.4574,Good
Jacob at the valet was fantastic and attentive to all my needs,12,2,0,0,0,0.5574,Good
Great valet team!!!,6,1,0,0,0,0.7163,Good
Jacob is amazing! Top notch service!,8,1,0,0,0,0.7339,Good
Jacob and Jorge at valet were great!,8,1,0,0,0,0.6588,Good
Pratik is an amazing host,5,1,0,0,0,0.5859,Good
He makes you feel at home,6,0,0,0,0,0,Average
Very nice and cozy hotel,5,1,0,0,0,0.4754,Good
Wonderful room with big window,5,1,0,0,0,0.5719,Good
"Parking under the hotel, very convenient",7,1,0,0,0,0,Good
Beautiful rooftop with pool,4,1,0,0,0,0.5994,Good
"Friendly and helpful staff, Mr",6,2,0,0,0,0.7184,Good
Pratik was very nice,4,0,0,0,0,0.4754,Good
PRATIK WAS THE BEST AMD SO HELPFUL- wonderful stay,9,3,0,0,0,0.9448,Good
"Valet was great, super helpful!",7,2,0,0,0,0.902,Good
Great stay! Helpful staff,5,3,0,0,0,0.8016,Good
Beautiful place,2,1,0,0,0,0.5994,Good
Pratik was kind and helpful,5,2,0,0,0,0.7351,Good
Pratik was very accommodating,4,1,0,0,0,0,Good
The room was very hot,5,0,0,0,0,0,Average
I don’t think the AC is working at his full capacity,13,0,0,0,0,0,Average
I didn’t particularly like that,7,0,0,0,0,0.4201,Good
The breakfast bar is closed on the weekends but I get it,12,0,0,0,0,0,Average
Pratik did advise me to go to 41 acres to grab coffee,12,0,0,0,0,0,Average
Staff has been pretty accommodating,5,1,0,0,0,0.4939,Good
This hotel was an excellent stay for my business trip,10,1,0,0,0,0.5719,Good
The staff were fantastic including and especially  Pratik and Key,10,1,0,0,0,0.5574,Good
"Everyone was wonderful, especially Pratik",6,1,0,0,0,0.5719,Good
I received the most amazing customer service from Pvatik at the front desk,13,1,0,0,0,0.624,Good
There was an issue with room and tax being charged to me rather than my company,16,0,0,0,1,-0.2023,Worst
He quickly fixed the issue and was very kind and patient,11,1,0,0,1,0.5709,Good
I love this hotel and I will be back,9,1,0,0,0,0.6369,Good
"The location is great and room was wonderful! The front desk was always ready to help and offer suggestions—especially your employee, Key, she checked me in and helped get me my room earlier than expected",40,2,0,0,0,0.923,Good
She was so friendly and helpful!,7,1,0,0,0,0.8162,Good
Jacob the Valet was awesome!,6,1,0,0,0,0.6588,Good
Jacob was awesome!,4,1,0,0,0,0.6588,Good
The atmosphere is relaxing and location is perfect,8,1,0,0,0,0.7845,Good
Confusing entrance tho,3,0,0,0,0,-0.2263,Worst
Pratik at the front desk was very friendly,8,0,0,0,0,0.5413,Good
Appreciated service from Pratik,4,0,0,0,0,0.5106,Good
"Pratik was very helpful, after telling him I found spriders he told me he would try to resolve the issue",21,1,0,0,1,0.6901,Good
"Pratik, was helpful, resourceful to my needs and made my stay enjoyable",14,1,0,0,0,0.6908,Good
Jacob the valet is great,5,1,0,0,0,0.6249,Good
they all are super helpful great hotel!,8,2,0,0,0,0.902,Good
My husband and I had a great stay at The Otis,11,1,0,0,0,0.6249,Good
The service was amazing from check-in to check-out,8,1,0,0,0,0.5859,Good
"We spent time at the bar, Chad was super attentive, engaging and made great drinks",17,2,0,0,0,0.886,Good
We loved that valet was available 24/7 so even if we had a late night there was someone available to bring out vehicle back,24,1,0,0,0,0.5994,Good
And Jacob with valet was quick to have an our vehicle ready at check out and enthusiastic to ensure we had everything we needed to take off,27,1,0,0,0,0.8074,Good
Overall this is a spectacular hotel to stay during your visit to Austin! Highly recommend and would return,19,2,0,0,0,0.474,Good
Horrendous service! Was charged a separate parking fee at check out after being told otherwise at check in,19,0,0,0,0,-0.7088,Worst
"And all they had to say was ""SORRY FOR THE MISCOMMUNICATION"" and got charged the $50+ fee",20,0,0,0,0,-0.4278,Worst
Would recommend ANYWHERE ELSE but here,6,1,0,0,0,0.1901,Good
It was amazing,3,1,0,0,0,0.5859,Good
Pratik deserve recognition he is the best please give him the dues he desrve,14,1,0,0,0,0.7579,Good
The valet Jacob was very helpful,6,1,0,0,0,0.4754,Good
The hotel is very nice and clean however the parking is very expensive (60 usd),17,1,0,0,1,0.7233,Good
Pratik was super nice and helpful!!,8,1,0,0,0,0.8774,Good
Our stay at AC was comfortable and all the staff provided great service especially from Mercy and Jacob!,19,3,0,0,0,0.8878,Good
Jacob has been really super professional,6,1,0,0,0,0.6361,Good
"❗️BEDBUGS, BEDBUGS, BEDBUGS ❗️I have been to many hotels in and out of the country and to say this was the worse experience I’ve ever had",30,0,0,0,0,-0.4767,Worst
They have BED BUGS,4,0,0,0,1,0,Worst
They would not even come in my room to check and took 3 days to run labs all to say they found nothing,23,0,0,0,1,0,Worst
They did offer me another room but I was not allowed to take my luggage because they said it was “contaminated” but yet they would not give me a refund,32,0,0,0,1,0,Worst
Over $600 So be careful,0,0,0,0,0,0,Neutral
If I could give them a negative review I would have,11,0,0,0,0,-0.5719,Worst
"Jacob and Sahool were great valets, thank you!",10,1,0,0,0,0.784,Good
Anniversary trip with my wife,5,0,0,0,0,0,Average
We usually stay a bit more south in downtown,9,0,0,0,0,0,Average
"This is by far our favorite hotel!  The Otis is awesome!  From the time we hit the door, to the time we left",26,1,0,0,0,0.8264,Good
Everyone took very good care of us,7,0,0,0,0,0.7698,Good
"We would like to especially thank:  Jacob, Saul and Andrew - valet",14,0,0,0,0,0.6478,Good
Mario - bellhop,3,0,0,0,0,0,Average
"Emmy, Josh and Chad - Lobby bar",8,0,0,0,0,0.0258,Average
Lena & Kiana - front desk,6,0,0,0,0,0,Average
Melissa & Chantel - pool bar,6,0,0,0,0,0,Average
"Book your stay here!  Laid back vibe, very clean property and it smells great!!  You’ll understand when you hit the lobby!  We’ll be back again soon!",36,2,0,0,0,0.8541,Good
"❗️BEDBUGS, BEDBUGS, BEDBUGS ❗️I have been to many hotels in and out of the country and to say this was the worse experience I’ve ever had",30,0,0,0,0,-0.4767,Worst
They have BED BUGS,4,0,0,0,1,0,Worst
They would not even come in my room to check and took 3 days to run labs all to say they found nothing,23,0,0,0,1,0,Worst
They did offer me another room but I was not allowed to take my luggage because they said it was “contaminated” but yet they would not give me a refund,32,0,0,0,1,0,Worst
Over $600 So be careful,0,0,0,0,0,0,Neutral
If I could give them a negative review I would have,11,0,0,0,0,-0.5719,Worst
Room was small but decent - amazing service by Pratik (the front desk),15,1,1,0,0,0.7351,Good
pratik was awesome!,4,1,0,0,0,0.6588,Good
Excellent had great time,4,2,0,0,0,0.8316,Good
Jacob at valet was awesome!,6,1,0,0,0,0.6588,Good
Pratik is very kind and professional,6,2,0,0,0,0.5709,Good
Stay was clean very nice,5,1,0,0,0,0.6997,Good
Restaurant is very good acre 41,6,0,0,0,0,0.4927,Good
Waiter was very too,4,0,0,0,0,0,Average
I would come back,4,0,0,0,0,0,Average
But pratik stand out,4,0,0,0,0,0,Average
He is the best,4,1,0,0,0,0.6369,Good
Please note down,3,0,0,0,0,0.3182,Good
Great location and service,4,2,0,0,0,0.6249,Good
Pratik is excellent and friendly,5,1,0,0,0,0.7845,Good
"Pratik was excellent! Very helpful and nice guy, he went out of his way to accommodate our room change requests on the busiest weekend of the year (university graduation) smiling all along!",37,2,0,0,0,0.9252,Good
This was a great experience,5,1,0,0,0,0.6249,Good
"Beautiful rooms, amazing customer service",6,2,0,0,0,0.8271,Good
KD check us in and welcomed us with complementary drink tickets,11,0,0,0,0,0.34,Good
"The Valets-Jacob and Saul, were always ready with our car",11,0,0,0,0,0.3612,Good
"If you’re visiting Austin, you should definitely stay at The Otis Hotel",15,0,0,0,0,0.4019,Good
"Well located, near the university",6,0,0,0,0,0.2732,Good
In the front  You can find different options for food on in the receptionist area there's a good place for food and socialize,24,0,0,0,0,0.4404,Good
Very nice hotel staff!,5,0,0,0,0,0.5244,Good
"The hotel itself leaves something to be desired in terms of room size, bathroom privacy and parking accessibility",19,0,0,0,0,0.2732,Good
"I would recommend only staying if you are there visiting something within immediate walking distance (college, etc)",20,1,0,0,0,0.3612,Good
"I spent two nights at this property in May, 2025, while attending a board meeting in Austin",19,0,0,0,0,0,Average
"I normally stay in grander/more expensive hotels, but this was a group booking for us all, and, in fact, I was delighted by the hotel",29,0,0,0,1,0.6652,Worst
"It feels very new, and the rooms are in good condition, and very well designed for what they are",21,0,0,0,0,0.6478,Good
"||There is a 'simple' breakfast offering and bar, but there is also the grander bar/restaurant of the Otis Hotel, which is the 'other half' of the AC, and one can eat and drink there, charging to one's room in the AC",48,0,0,0,0,0.5499,Good
That's a great advantage,5,1,0,0,0,0.7269,Good
||But the best thing about the AC was the quality of its staff,13,1,0,0,0,0.7783,Good
"I had an issue with some laundry not being delivered back on the same day, which had some potentially challenging implications",22,0,0,0,1,0.1531,Worst
"The front desk staff were universally kind and supportive, and ran the extra mile to try and resolve this before I checked out for a morning flight (and they managed to do so!), which I really appreciated",42,1,0,0,0,0.9019,Good
(And just to be clear - the fault was entirely that of the external laundry,16,0,0,0,0,-0.0258,Average
")||So I recommend this place strongly, if it is the style and price point of hotels you consider/like",20,1,0,0,0,0.5574,Good
Jacob and Andrew were great at valet,7,1,0,0,0,0.6249,Good
Bar and service was phenomenal,5,0,0,0,0,0,Average
Jacob with valet was awesome!,6,1,0,0,0,0.6588,Good
Thank you Jacob! You really made this easy and service with a smile to match! 10/10,18,0,0,0,0,0.8515,Good
Great experience and pratik was very nice and attentive (:,11,2,0,0,0,0.8858,Good
"Pratik, Mercy & Yanni were all amazing! AC location is great for UT",15,2,0,0,0,0.8932,Good
Comfortable rooms,2,1,0,0,0,0.5106,Good
Good location,2,0,0,0,0,0.4404,Good
Incompetent unprofessional sloppy staff,4,0,0,0,1,-0.7506,Worst
Unreliable wifi,2,0,0,0,0,0,Average
Food is edible but even that assessment is being generous,10,0,0,0,0,0.6652,Good
"If staying in this area I recommend the AT & T conference center (the Carillion is fantastic, amazing staff and food over there)",26,3,0,0,0,0.872,Good
Good location,2,0,0,0,0,0.4404,Good
Unprofessional incompetent staff,3,0,0,0,1,-0.7506,Worst
Unreliable wifi,2,0,0,0,0,0,Average
"If staying in this area, I recommend the AT & T conference center",14,1,0,0,0,0.3612,Good
Had an amazing check in and out experience with Pratik! He goes above and beyond to show hospitality to every customer?,23,1,0,0,0,0.6239,Good
Pratik helped me multiple times and was SUCH a joy,10,0,0,0,0,0.5859,Good
I traveled to Austin for work (i work in customer experience and hospitality) and was nothing but impressed with his professionalism and attention,25,1,0,0,0,-0.5157,Good
"Jacob with valet is amazing, very friendly, attentive, fast and helpful!",15,3,0,0,0,0.8856,Good
Jacob at valet was great!!!,8,1,0,0,0,0.7163,Good
The hotel was very accommodating with my late check in,10,1,0,0,0,0,Good
Pratik from the front desk was especially helpful with my luggage and check out process,15,1,0,0,0,0.4754,Good
He greeted me and other guests with a contagious smile which is exactly what I needed in this very early morning!,22,0,0,0,0,0.3595,Good
Pratik was absolutely fantastic,4,1,0,0,0,0.5984,Good
I love this hotel and can’t recommend it highly enough,12,2,0,0,0,0.7717,Good
Hope to return soon!,5,0,0,0,0,0.4926,Good
We've stayed here many times visiting our daughter at school,11,0,0,0,0,0,Average
"We love it because it is close to her, the food is great, the lounge areas are chill and the rooms are really nice too",27,2,0,0,0,0.908,Good
"Positive: great staff and location|Negative:  as others have indicated, the room design is a textbook case of ""what were they thinking""",26,2,0,0,0,0.8271,Good
It works only (maybe) for the solo traveller,10,0,0,0,0,0,Average
The bathroom is essentially incorporated into the bedroom,8,0,0,0,0,0,Average
"It is impossible to take a shower without flooding the bed with light, so you will wake up your roommate",21,0,0,0,0,0,Average
"The shower door does not completely close, so you will get the room wet",15,0,0,0,0,0,Average
The toilet is separated from the room by just a sliding door (you can guess all the reasons why this is a bad idea),26,0,0,0,0,-0.5423,Worst
"||Much as I appreciate the stuff, I will avoid this property in the future",15,0,0,0,1,0.128,Worst
I recommend you do the same unless you are a solo traveler,12,1,0,0,0,0.3612,Good
Pratik was amazing and helped me with an extended stay,10,1,0,0,0,0.5859,Good
"The Valrt service is here was very good, always returned our car in a timely manner! Jacob helped us with our car, and was very kind! Thank you, AC Hotel for your hospitality!",39,1,0,0,0,0.8895,Good
"Jacob, Andrew and Tyler gave us maxing service while staying at The Otis",14,0,0,0,0,0,Average
top notch valet service,4,0,0,0,0,0.2023,Good
"The hotel was nice, with a funky vibe in a good way",13,0,0,0,0,0.6486,Good
"The reservation desk host, Prattk, was very polite and professional",12,2,0,0,0,0,Good
This was a great location for our annual meeting,9,2,0,0,0,0.6249,Good
"My first time in Austin, TX, it was pretty nice",12,0,0,0,0,0.7184,Good
Small rooms but good location,5,0,0,0,0,0.5927,Good
The rooftop bar in the adjoined hotel is fabulous,9,0,0,0,0,0.5267,Good
Great stay,2,1,0,0,0,0.6249,Good
"Clean, quiet",3,2,0,0,0,0.4019,Good
Pratik at front check-in desk was super helpful and kind,10,2,0,0,0,0.8779,Good
Wpild return and recommend to anyone,6,1,0,0,0,0.3612,Good
Jacob was very helpful and a good valet driver,9,1,0,0,0,0.7178,Good
Jacob at valet was great!,6,1,0,0,0,0.6588,Good
This hotel is one of the newer types which is actually two hotels that share one building,17,0,0,0,0,0.296,Good
There's the AC and the Otis which is still a Marriott in the Autograph Collection,16,0,0,0,0,0,Average
They share a parking garage,5,0,0,0,0,0.296,Good
"The lobby for the AC is actually on the second floor, so you pass through the Otis lobby and go up one",23,0,0,0,0,0.0516,Good
||The hotel was clean and quiet and very comfortable,9,3,0,0,0,0.7425,Good
It's a small room with a wardrobe instead of a closet,12,0,0,0,0,0,Average
"There's a desk, with a slightly uncomfortable chair",10,0,0,0,1,-0.3197,Worst
Plenty of outlets which is nice,6,0,0,0,0,0.4215,Good
I see the bathroom is getting lots of hate,9,0,0,0,0,-0.5719,Worst
"It's definitely one of those open concept ones where the sink is almost in the living area and there is a toilet and a shower that are in separate ""rooms"" off the sink",36,0,0,0,0,0.4019,Good
As a solo business traveller it was totally fine,9,0,1,0,0,0.2716,Average
"I would imagine if you're dating or not thrilled about hearing each other's bodies after eating tacos all day, this is more problematic",26,0,0,0,0,-0.6807,Worst
I think it all depends on what you're staying here for,12,0,0,0,0,0,Average
Excellent service,2,2,0,0,0,0.5719,Good
Special thanks to Jacob and Noah for their help,9,0,0,0,0,0.8074,Good
Jacob parking valet was awesome!,6,1,0,0,0,0.6588,Good
Jacob and Noah were amazing!,6,1,0,0,0,0.6239,Good
Pratik has been very helpful with the checking and out,10,1,0,0,0,0.4754,Good
"Pratik was awesome, made sure 8 was taken care of",11,1,0,0,0,0.8625,Good
I had a really pleasant and thoughtful experience staying here,10,1,0,0,0,0.7548,Good
I stayed for three nights and Pratik was at the front desk when I checked in and out,18,0,0,0,0,0,Average
"I couldn't ask for a more patient, genuine and thorough Attendant",13,0,0,0,0,0,Average
I also liked the simple and modern rooms,8,1,0,0,0,0.4215,Good
I absolutely plan to stay here again when visiting Austin,10,0,0,0,0,0,Average
Pratik was very helpful and accommodating!,7,2,0,0,0,0.5244,Good
Jacob our valet was phenomenal! For the price of the room and it being a suite we thought it would be a bit more roomy,26,0,0,0,0,0,Average
Overall ok experience,3,0,1,0,0,0.296,Average
"Great rooms, the staff were all wonderful! Pratik was very welcoming",13,3,0,0,0,0.9059,Good
Amazing hospitality!,3,1,0,0,0,0.6239,Good
"Very friendly staff, especially Patik! Very helpful at checkout and so nice!",15,2,0,0,0,0.9011,Good
Practik at the front desk was extremely friendly and helpful,10,1,0,0,0,0.762,Good
Thank you,2,0,0,0,0,0.3612,Good
Jacob and Tyler are very helpful!,7,1,0,0,0,0.5244,Good
"The rooms are really small, but practical",8,0,0,0,0,0,Average
The service is unmatched though,5,0,0,0,0,-0.0772,Worst
Literally the friendliest and most helpful staff I’ve ever experienced at a hotel that doesn’t cost $1000 a night,24,2,0,0,0,0.7713,Good
I was sick the whole time I was there and they did an amazing job helping me get the things I needed,22,1,0,0,0,0.4019,Good
Vallet was so nice!! Shoutout Jacob!!,10,0,0,0,0,0.6989,Good
The entire staff was great! Valet team was top notch,11,1,0,0,0,0.7345,Good
Shout out to Jacob and Andrew for their first class service,11,0,0,0,0,0,Average
Jacob & Andrew were so helpful and amazing!!!!!,13,2,0,0,0,0.8704,Good
Loved this cute boutique hotel,5,1,0,0,0,0.7845,Good
Close to 2 major food chains and on-site restaurants and room service available,13,0,0,0,0,0,Average
The only minor drawback is it's right in the heart of University of Texas at Austin so patience is needed when driving during class transition and after school hours,30,0,0,0,0,0.6369,Good
We got a great deal on a queen size room here,11,1,0,0,0,0.6249,Good
"While the room is on the smaller side you don't feel it, cozy would be a great way to describe it",23,2,0,0,0,0.6249,Good
the bathroom is an extension of the room and not a separate room itself,14,0,0,0,0,0,Average
"there was a sliding door to provide privacy while on the toilet but in such a small room you will be well acquainted with the aroma, yikes",28,0,0,0,0,0.3919,Good
"The bed was very comfortable, the TV large and you can sign into your different streaming accounts although, while it did say that HBO Max was included we could not access the app provided",36,1,0,0,1,0.5563,Good
"Our mini fridge (emphasis on mini) did not work when we first got there, but after telling the front desk they fixed it promptly",27,0,0,0,0,0,Average
"The staff was very hospitable, friendly, and prompt",10,0,0,0,0,0.539,Good
Everyone from the front desk associates to the restaurant waiters and bartenders who made you feel like close friends,19,0,0,0,0,0.6808,Good
The rooftop bar gives you an excellent look-out onto  downtown Austin,11,1,0,0,0,0.5719,Good
The food is very good and while this hotel gives you enough reasons to spend your whole stay there it is in such close proximity to downtown and other attractions/restaurants throughout the city that you'll have plenty to do,40,0,0,0,0,0.4927,Good
It's clean but expensive,5,1,0,0,1,0.2144,Good
Don't expect any frills,5,0,0,0,0,0,Average
There are much better options all around the downtime Austin area,11,0,0,0,0,0.4404,Good
Jacob and the Valet staff are amazing,7,1,0,0,0,0.5859,Good
Arron Brooks is also amazing,5,1,0,0,0,0.5859,Good
Jacob,1,0,0,0,0,0,Average
"This is a terrible room design for families, and I would say for couples as well",17,0,0,0,1,-0.25,Worst
"I’m not sure how a bathroom with a frosted door, and a barn door at that which doesn’t close tightly, ever got designed in the first place much less made it through rounds of approvals",41,0,0,0,0,-0.2411,Worst
"If someone needs to use the bathroom in the middle of the night, the room is flooded with light",20,0,0,0,0,0,Average
Our two kids wanted to use the lobby bathrooms instead of the room because no one wants every aspect of their business to be heard due to the huge gap left even with the door all the way closed,39,0,0,0,0,0.0516,Good
Room is clean and the record player made my day!  Jacob (Jake) was very pleasant helping us getting our car,23,2,0,0,0,0.8427,Good
Jacob the valet guy was great,6,1,0,0,0,0.6249,Good
Great location if you need to be close to campus,10,2,0,0,0,0.6249,Good
"Our valet, Jacob, was amazing and we had a dinner party of 9 at Acre 41 and our server, John R, was incredible!  Also, when I checked in , KD, was super helpful and gracious",42,2,0,0,0,0.9523,Good
The Otis is my only choice when staying in Austin,10,0,0,0,0,0,Average
The valets - Jacob and Luis - were great,9,1,0,0,0,0.6249,Good
Sue was such an incredible server,6,0,0,0,0,0,Average
Everyday she greeted me with a smile and it truly made my stay unforgettable,14,0,0,0,0,0.7579,Good
You can really tell that she enjoys her job and she is fantastic at what she does,17,1,0,0,0,0.7845,Good
Highest praise to her!! Will definitely return to see her!,13,0,0,0,0,0.8007,Good
Tyler at the valet was spectacular!,7,0,0,0,0,0,Average
"Had a great stay at The Otis! Rooms are cute, staff is attentive, and had a good location",21,2,0,0,0,0.8832,Good
Jacob at valet was great and made everything super easy!,11,1,0,0,0,0.9041,Good
Jacob at valet was so nice,6,0,0,0,0,0.5598,Good
"He remembers us each visit, and he goes out of his way to be helpful",16,1,0,0,0,0.4215,Good
Jacob was awesome,3,1,0,0,0,0.6249,Good
"Pretty clean , nice staff",5,1,0,0,0,0.8271,Good
Jacob and Shep,3,0,0,0,0,0,Average
